city,location,price,bedrooms,baths,size
Lahore,Al Rehman Garden Phase 2,23300000,5,6,6
Lahore,Park View City,18000000,4,4,5
Lahore,DHA Phase 7,70000000,5,6,20
Lahore,DHA Phase 6,80000000,5,6,20
Lahore,Bismillah Housing Scheme - Abu Bakar Block,45000000,6,6,10
Lahore,Bismillah Housing Scheme,17000000,3,4,5
Lahore,Bismillah Housing Scheme - Block A,14500000,0,0,4
Lahore,Bismillah Housing Scheme - Hussain Block,33000000,5,6,7.5
Lahore,Bismillah Housing Scheme - Hussain Block,21500000,0,0,5
Lahore,Park View City,21500000,4,4,5
Lahore,Johar Town Phase 2,34500000,5,6,5
Lahore,Bahria Town - Tulip Block,49000000,4,4,10
Lahore,Bahria Town - Jinnah Block,28500000,3,3,5
Lahore,DHA Phase 8,120000000,5,5,20
Lahore,Formanites Housing Scheme,13000000,3,3,3
Lahore,DHA Phase 6,55000000,4,5,10
Lahore,DHA Phase 6 - Block M,320000000,7,7,40
Lahore,DHA Phase 6,120000000,5,6,20
Lahore,Al Rehman Phase 2 - Block J,22800000,5,6,6
Lahore,DHA Phase 4 - Block DD,72500000,6,7,20
Lahore,DHA Phase 3 - Block XX,182500000,5,6,40
Lahore,DHA Phase 6,86500000,5,6,20
Lahore,Park View City,17000000,4,5,5
Lahore,Park View City,11500000,3,4,3.5
Lahore,Park View City,19000000,3,4,5
Lahore,Park View City,16500000,4,4,5
Lahore,Park View City,18000000,4,4,5
Lahore,Johar Town Phase 2,35000000,5,6,5
Lahore,DHA Phase 7,72500000,5,5,20
Lahore,Bismillah Housing Scheme - Abu Bakar Block,13400000,0,0,3
Lahore,Shah Jamal,25000000,5,3,10
Lahore,Park View City,16200000,4,4,5
Lahore,Park View City,20000000,4,4,5
Lahore,Johar Town Phase 2 - Block G4,45000000,6,6,10
Lahore,Bahria Town - Talha Block,55000000,5,6,10
Lahore,Bahria Town - Jasmine Block,49000000,5,5,10
Lahore,Bahria Nasheman,17000000,3,4,5
Lahore,Palm City,19000000,3,4,5
Lahore,DHA Phase 3,70000000,5,5,20
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,17000000,4,5,5
Lahore,Bahria Town - Sector H,4600000,3,3,5
Lahore,DHA Phase 2 - Block R,169500000,6,7,40
Lahore,DHA Phase 7,37000000,4,5,10
Lahore,DHA Phase 7,63800000,5,6,20
Lahore,DHA Phase 7,319000000,6,7,40
Lahore,DHA 9 Town,20500000,3,4,5
Lahore,Park View City,22500000,4,5,5
Lahore,Askari 11 - Sector B Apartments,26500000,3,3,10
Lahore,Jail Road,6000000,2,2,2.3
Lahore,Valencia Housing Society,72000000,6,6,20
Lahore,Park View City,18000000,4,4,5
Lahore,DHA Phase 6 - Block A,66500000,4,5,10
Lahore,DHA Phase 5,55000000,4,5,10
Lahore,DHA Phase 6,137000000,5,6,20
Lahore,DHA Phase 7 - Block U,119500000,5,6,20
Lahore,Allama Iqbal Town,37500000,4,4,10
Lahore,Valencia Housing Society,110000000,6,6,40
Lahore,Allama Iqbal Town,34000000,4,4,10
Lahore,Bahria Town - Sector D,11000000,2,2,3.3
Lahore,DHA Phase 6 - Block M,240000000,6,6,20
Lahore,Al Jalil Garden,11000000,3,4,3
Lahore,DHA 9 Town - Block A,20500000,3,4,5
Lahore,DHA Phase 6 - Block E,84000000,5,6,20
Lahore,DHA Phase 8 - Block V,79500000,5,6,20
Lahore,DHA Phase 7,74000000,5,6,20
Lahore,Bahria Town - Sector E,26000000,3,4,5
Lahore,DHA Phase 6,78600000,5,0,20
Lahore,Defence Raya,170000000,6,7,30
Lahore,Low Cost - Block C,23500000,5,6,8
Lahore,Model Town,110000000,5,6,20
Lahore,DHA Phase 7,68500000,5,6,20
Lahore,Zameen Opal,11500000,1,1,1.8
Lahore,CBD Punjab (PCBDDA),18100000,0,1,2
Lahore,DHA 11 Rahbar Phase 2,20000000,3,4,5
Lahore,Johar Town Phase 1 - Block B,48000000,4,4,15
Lahore,State Life Housing Society,41500000,5,6,10
Lahore,Park View City,20700000,5,4,5
Lahore,Bahria Orchard Phase 4 - Block G5,4700000,2,2,5
Lahore,Allama Iqbal Town,75000000,5,5,10
Lahore,Allama Iqbal Town,70000000,7,6,20
Lahore,Allama Iqbal Town,55000000,5,5,10
Lahore,DHA Phase 5,85000000,5,6,20
Lahore,DHA 11 Rahbar Phase 2,18000000,3,4,5
Lahore,Bahria Town - Nishtar Extension Block,45000000,5,6,10
Lahore,Bahria Town - Sector C,150000000,7,7,40
Lahore,Paragon City,18500000,3,4,5
Lahore,DHA Phase 6 - Block L,429000000,7,7,40
Lahore,DHA Phase 6 - Block C,364000000,7,7,40
Lahore,DHA Phase 6 - Block K,369000000,6,6,40
Lahore,Bahria Town - Sector D,21000000,3,3,5
Lahore,Bahria Town - Sector E,4500000,0,1,1.1
Lahore,DHA Phase 6,570000000,7,7,40
Lahore,DHA Phase 7,119500000,5,7,20
Lahore,DHA Phase 5,75700000,5,6,20
Lahore,DHA Phase 7,67500000,5,6,20
Lahore,DHA Phase 6,80000000,5,6,20
Lahore,DHA Phase 5 - Block L,62500000,5,6,10
Lahore,Sarwar Road,105000000,3,3,20
Lahore,State Life Housing Society,51000000,4,5,12
Lahore,PAF Falcon Complex,132500000,5,6,20
Lahore,Bahria Town - Sector C,8700000,1,1,2
Lahore,Bahria Town - Sector E,6500000,1,1,2.2
Lahore,DHA Phase 6,487500000,6,6,100
Lahore,Valencia Housing Society,72000000,6,6,20
Lahore,Valencia Housing Society,159500000,6,6,40
Lahore,Valencia Housing Society,104000000,5,6,20
Lahore,DHA Phase 6 - Block F,97500000,5,6,40
Lahore,DHA Phase 7,115000000,6,7,40
Lahore,Bahria Town - Ghaznavi Block,35000000,5,6,10
Lahore,Bahria Town - Overseas C,18000000,3,4,5
Lahore,DHA Phase 6 - Block N,132500000,5,6,20
Lahore,Bahria Town - Nargis Block,38000000,5,6,10
Lahore,DHA Phase 6 - Block K,71000000,5,6,20
Lahore,Bahria Town - Ghaznavi Block,46000000,5,6,11
Lahore,Khuda Buksh Colony,23000000,3,4,7
Lahore,Bahria Town - Iqbal Block,6900000,1,1,2.1
Lahore,DHA 9 Town,19900000,3,4,5
Lahore,DHA Phase 6,75500000,5,6,20
Lahore,Askari 10 - Sector D,58500000,5,6,10
Lahore,Bahria Town - Sector E,5475000,0,1,1.6
Lahore,Askari 10 - Sector F,87000000,5,6,17
Lahore,DHA 11 Rahbar Phase 1 - Block C,66500000,6,7,12
Lahore,Central Park Housing Scheme,26000000,5,7,10
Lahore,DHA 9 Town,18300000,3,3,5
Lahore,Bismillah Housing Scheme,9800000,3,3,3
Lahore,DHA Phase 5 - Block L,140000000,10,7,20
Lahore,Bahria Orchard Phase 4 - Block G5,5200000,2,2,5
Lahore,Midway Commercial,3400000,1,1,2.2
Lahore,DHA Phase 7 - Block Y,64500000,5,6,20
Lahore,Askari 11,25300000,3,4,10
Lahore,Askari 11,30800000,4,6,12
Lahore,LDA Avenue - Block M,23500000,3,4,10
Lahore,DHA 9 Town,17000000,4,6,5
Lahore,Bahria Town - Overseas A,120000000,6,7,20
Lahore,Bahria Town - Iqbal Block,3500000,1,1,2
Lahore,Bahria Town - Sector B,5900000,1,1,2.1
Lahore,Bahria Town - Jasmine Block,35000000,5,6,10
Lahore,Park View City - Crystal Block,17500000,3,3,5
Lahore,Central Park - Block D,30000000,5,6,10
Lahore,Bahria Town - Talha Block,49500000,5,6,10
Lahore,Bahria Town - Overseas B,47500000,4,5,10
Lahore,Askari 10 - Sector F,86500000,5,6,17
Lahore,Park View City,16000000,4,5,5
Lahore,Bahria Town - Umar Block,38000000,5,6,10
Lahore,Park View City,11000000,3,4,3.5
Lahore,DHA Phase 6 - Block B,124500000,6,7,22
Lahore,Askari 11 - Sector D,29000000,3,0,10
Lahore,Valencia Housing Society,160000000,6,7,40
Lahore,DHA Phase 6 - Block K,79600000,5,5,20
Lahore,Johar Town Phase 2,63500000,5,6,12
Lahore,Bismillah Housing Scheme,33000000,5,6,7.5
Lahore,Park View City,16000000,4,5,5
Lahore,Khayaban-e-Amin - Block L,17000000,3,4,5
Lahore,DHA 9 Town,19500000,4,6,5
Lahore,Mian Amiruddin Park,12000000,3,3,3
Lahore,Bahria Town - Sector B,32500000,4,5,10
Lahore,Bahria Town - Sector C,39000000,4,5,10
Lahore,Park View City,16000000,4,5,5
Lahore,Bahria Town - Overseas B,47500000,4,5,10
Lahore,Bahria Town - Tipu Sultan Block,120000000,6,6,20
Lahore,DHA Phase 3 - Block X,139500000,7,7,34
Lahore,DHA Phase 6,78900000,5,0,20
Lahore,DHA Phase 6,76800000,5,5,20
Lahore,Bahria Town - Sector E,56000,3,0,10
Lahore,Canal Garden - Tip Sector,12400000,4,4,3
Lahore,Park View City,15500000,4,5,5
Lahore,DHA Phase 7,65800000,5,6,20
Lahore,Bahria Town - Gulbahar Block,27500000,5,6,10
Lahore,DHA Phase 6 - Block J,80200000,5,6,20
Lahore,DHA Phase 6 - Block D,74500000,5,6,20
Lahore,DHA Phase 5 - Block H,79500000,5,6,20
Lahore,Bismillah Housing Scheme,21000000,5,5,5
Lahore,State Life Housing Society,20500000,3,3,5
Lahore,Palm Villas,12500000,3,3,3.5
Lahore,DHA Phase 3,38000000,4,5,7
Lahore,Al Hafeez Garden - Phase 5,26200000,4,4,5
Lahore,Bahria Town - Nargis Block,36500000,5,6,10
Lahore,Park View City,23000000,4,4,5
Lahore,DHA Phase 7 - Block Q,88900000,5,6,20
Lahore,DHA Phase 7 - Block W,63900000,4,6,20
Lahore,Park View City,11000000,3,4,3.5
Lahore,DHA Phase 7,66800000,5,5,20
Lahore,Park View City,16500000,4,5,5
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,11000000,4,5,3.5
Lahore,DHA Phase 6,117900000,7,6,40
Lahore,DHA Phase 7,67000000,5,6,20
Lahore,DHA Phase 6,78900000,5,6,20
Lahore,Park View City,10800000,3,4,3.5
Lahore,Bahria Nasheman,21000000,5,6,8
Lahore,DHA 9 Town,21500000,3,4,5
Lahore,DHA Phase 6,79500000,5,6,20
Lahore,Askari 11 - Sector B,31000000,3,4,10
Lahore,DHA Phase 7 - Block S,110000000,6,7,20
Lahore,Park View City,17000000,4,5,5
Lahore,Valencia Housing Society,82500000,5,6,20
Lahore,DHA Phase 7,69500000,5,6,20
Lahore,Park View City,16500000,4,4,5
Lahore,DHA Phase 8 - Ex Park View,130000000,6,6,20
Lahore,Etihad Town Phase 1,10300000,2,2,4
Lahore,Johar Town Phase 2,32500000,6,6,5
Lahore,Johar Town Phase 2,32500000,5,6,5
Lahore,Bahria Orchard,16500000,3,4,5
Lahore,DHA Phase 6 - Block K,79400000,5,5,20
Lahore,Canal Garden - Block A,16700000,4,4,5
Lahore,Canal Garden,15500000,3,4,5
Lahore,Khayaban-e-Amin,11800000,3,3,5
Lahore,Bahria Nasheman,14500000,3,3,5
Lahore,DHA 9 Town,19100000,3,4,5
Lahore,Bahria Nasheman,12800000,3,4,5
Lahore,DHA Phase 8,85000000,5,6,20
Lahore,DHA Phase 8,79000000,5,6,20
Lahore,DHA Phase 6,82500000,5,6,20
Lahore,Bahria Nasheman,15000000,4,4,6
Lahore,DHA Phase 6,71200000,5,6,20
Lahore,Bahria Town - Sector D,16500000,3,3,5
Lahore,Bahria Nasheman,6600000,2,2,5
Lahore,Central Park Housing Scheme,31000000,5,6,10
Lahore,LDA Avenue,42500000,6,7,20
Lahore,Midway Commercial,3100000,2,2,4.2
Lahore,DHA Phase 6,480000000,7,7,80
Lahore,Park View City,10500000,3,4,3.5
Lahore,Park View City,16000000,4,5,5
Lahore,Bahria Town - Sector D,17500000,3,4,5
Lahore,IEP Engineers Town - Sector A,27500000,4,5,10
Lahore,Johar Town Phase 2,30000000,6,6,5
Lahore,Johar Town Phase 2,24500000,5,6,5
Lahore,Valencia Housing Society,48000000,5,6,16
Lahore,Park View City,35000000,4,4,10
Lahore,Park View City,17500000,4,4,5
Lahore,Park View City,17000000,4,4,5
Lahore,DHA 9 Town - Block A,20500000,3,3,5
Lahore,DHA Phase 6,69500000,5,6,20
Lahore,DHA Phase 6,81500000,5,6,20
Lahore,Bahria Nasheman - Sunflower,16000000,5,6,6
Lahore,DHA Phase 6,110000000,5,6,20
Lahore,Bahria Nasheman,13000000,3,4,5
Lahore,DHA Phase 6,510000000,6,7,40
Lahore,Bahria Town - Sector D,17300000,3,5,5
Lahore,Bahria Town - Sector C,90000000,6,6,20
Lahore,Park View City,19000000,4,4,5
Lahore,DHA Phase 6 - Block J,81500000,5,6,20
Lahore,Park View City,17000000,4,5,5
Lahore,Bahria Town - Overseas C,16000000,3,5,5
Lahore,Park View City - Sapphire Block,31000000,4,5,8
Lahore,DHA 11 Rahbar Phase 2 - Block L,22000000,3,3,5
Lahore,Central Park - Block A,11000000,3,4,3
Lahore,Shadab Garden,9700000,3,4,3
Lahore,Jubilee Town,26000000,5,5,10
Lahore,LDA Avenue,26000000,5,5,10
Lahore,Johar Town,31500000,4,6,5
Lahore,Johar Town Phase 2,30000000,6,6,5
Lahore,Bahria Town - Sector F,7500000,1,1,2.2
Lahore,Bahria Town - Sector E,7500000,1,1,2.3
Lahore,DHA 9 Town,17800000,3,3,5
Lahore,Bahria Town,7800000,0,1,1.7
Lahore,Bahria Town - Jasmine Block,60000000,5,6,20
Lahore,Bahria Town - Sector E,85000000,6,6,20
Lahore,Bahria Town - Sector C,65000000,6,6,10
Lahore,Nasheman-e-Iqbal Phase 2,19000000,6,6,5
Lahore,Nasheman-e-Iqbal Phase 2,19500000,6,6,6
Lahore,Nasheman-e-Iqbal Phase 2,18000000,6,6,5
Lahore,Nasheman-e-Iqbal Phase 2,18500000,6,7,5
Lahore,Sunfort Gardens,25000000,5,6,5
Lahore,Punjab University Employees Society,22000000,5,6,5
Lahore,Bahria Town - Block AA,11000000,2,2,3.6
Lahore,Central Park Housing Scheme,19800000,4,4,5
Lahore,Central Park Housing Scheme,38500000,6,6,10
Lahore,Askari 11,29000000,3,4,10
Lahore,DHA Phase 5 - Block H,129900000,6,6,20
Lahore,Jubilee Town - Block E,19000000,5,5,5
Lahore,Bahria Town - Johar Block,5840000,0,1,1.6
Lahore,Gulberg 3,17500000,1,1,3
Lahore,DHA Phase 6,159500000,5,6,40
Lahore,Central Park - Block E,20000000,3,3,5
Lahore,Nasheman-e-Iqbal Phase 1,38000000,6,7,10
Lahore,Johar Town Phase 2,32500000,5,6,5
Lahore,Bahria Town - Jasmine Block,60000000,5,6,20
Lahore,Bahria Town - Safari Villas,15500000,3,3,5
